question,answer
When and where is Super - Chinese Grammar held?,"Super - Chinese Grammar is held at Tuesday 6, 7 in Human Social Science View (204)."
What type of course is Super - Chinese Grammar?,Super - Chinese Grammar is classified as a Theory course.
Are there any additional notes for Super - Chinese Grammar?,"Notes: The second grader is unable to apply during his school vacation, and if he has an after-school call, he can do so by choice."
What is the course code for Super - Chinese Grammar?,The course code for Super - Chinese Grammar is CHIN110008.
Who is the instructor for Super - Chinese Grammar?,The instructor of Super - Chinese Grammar is Zhou Zhou Young.
How many credits is Super - Chinese Grammar worth?,Super - Chinese Grammar is worth 2.0 credits.
When and where is Super - Chinese Grammar held?,"Super - Chinese Grammar is held at throat 2, 3. in Human social science (505)."
What type of course is Super - Chinese Grammar?,Super - Chinese Grammar is classified as a Theory course.
Are there any additional notes for Super - Chinese Grammar?,"Notes: The second grader is unable to apply during his school vacation, and if he has an after-school call, he can do so by choice."
What is the course code for Super-Chinese Recyclation?,The course code for Super-Chinese Recyclation is CHIN110010.
Who is the instructor for Super-Chinese Recyclation?,The instructor of Super-Chinese Recyclation is Implicit.
How many credits is Super-Chinese Recyclation worth?,Super-Chinese Recyclation is worth 3.0 credits.
When and where is Super-Chinese Recyclation held?,"Super-Chinese Recyclation is held at Number five, six, seven. in Human Social Science View (203)."
What type of course is Super-Chinese Recyclation?,Super-Chinese Recyclation is classified as a Theory course.
Are there any additional notes for Super-Chinese Recyclation?,"Notes: The second grader is unable to apply during his school vacation, and if he has an after-school call, he can do so by choice."
What is the course code for Super-Chinese Recyclation?,The course code for Super-Chinese Recyclation is CHIN110010.
Who is the instructor for Super-Chinese Recyclation?,The instructor of Super-Chinese Recyclation is A Letter.
How many credits is Super-Chinese Recyclation worth?,Super-Chinese Recyclation is worth 3.0 credits.
When and where is Super-Chinese Recyclation held?,"Super-Chinese Recyclation is held at Number 6, 7, 8. in Human Social Science View (306)."
What type of course is Super-Chinese Recyclation?,Super-Chinese Recyclation is classified as a Theory course.
Are there any additional notes for Super-Chinese Recyclation?,"Notes: The second grader is unable to apply during his school vacation, and if he has an after-school call, he can do so by choice."
What is the course code for Super-Chinese Recyclation?,The course code for Super-Chinese Recyclation is CHIN110010.
Who is the instructor for Super-Chinese Recyclation?,The instructor of Super-Chinese Recyclation is Zhou Zhou Young.
How many credits is Super-Chinese Recyclation worth?,Super-Chinese Recyclation is worth 3.0 credits.
When and where is Super-Chinese Recyclation held?,"Super-Chinese Recyclation is held at Number 2, 3, 4. in Human social science (505)."
What type of course is Super-Chinese Recyclation?,Super-Chinese Recyclation is classified as a Theory course.
Are there any additional notes for Super-Chinese Recyclation?,"Notes: The second grader is unable to apply during his school vacation, and if he has an after-school call, he can do so by choice."
What is the course code for Storytelling Chinese (2)?,The course code for Storytelling Chinese (2) is CHIN210014.
Who is the instructor for Storytelling Chinese (2)?,The instructor of Storytelling Chinese (2) is Alejandro..
How many credits is Storytelling Chinese (2) worth?,Storytelling Chinese (2) is worth 2.0 credits.
When and where is Storytelling Chinese (2) held?,"Storytelling Chinese (2) is held at Neck, seven, eight. in Human Social Science View (306)."
What type of course is Storytelling Chinese (2)?,Storytelling Chinese (2) is classified as a Theory course.
Are there any additional notes for Storytelling Chinese (2)?,"Notes: A third-grader is unable to apply during a school vacation, and if he has an after-school session, he is able to apply without restrictions."
What is the course code for Chinese Mathematics (2) - Voice?,The course code for Chinese Mathematics (2) - Voice is CHIN2106.
Who is the instructor for Chinese Mathematics (2) - Voice?,The instructor of Chinese Mathematics (2) - Voice is A Letter.
How many credits is Chinese Mathematics (2) - Voice worth?,Chinese Mathematics (2) - Voice is worth 3.0 credits.
When and where is Chinese Mathematics (2) - Voice held?,"Chinese Mathematics (2) - Voice is held at Months 6,7,8 in Human Social Science View (327)."
What type of course is Chinese Mathematics (2) - Voice?,Chinese Mathematics (2) - Voice is classified as a Theory course.
Are there any additional notes for Chinese Mathematics (2) - Voice?,Notes: Nan
What is the course code for Medium Chinese Deng (2)?,The course code for Medium Chinese Deng (2) is CHIN210016.
Who is the instructor for Medium Chinese Deng (2)?,The instructor of Medium Chinese Deng (2) is Kim Nanmi.
How many credits is Medium Chinese Deng (2) worth?,Medium Chinese Deng (2) is worth 3.0 credits.
When and where is Medium Chinese Deng (2) held?,"Medium Chinese Deng (2) is held at Number 6, 7, 8. in Human Social Science View (204)."
What type of course is Medium Chinese Deng (2)?,Medium Chinese Deng (2) is classified as a Theory course.
Are there any additional notes for Medium Chinese Deng (2)?,"Notes: A third-grader is unable to apply during a school vacation, and if he has an after-school session, he is able to apply without restrictions."
What is the course code for Medium Chinese Deng (2)?,The course code for Medium Chinese Deng (2) is CHIN210016.
Who is the instructor for Medium Chinese Deng (2)?,The instructor of Medium Chinese Deng (2) is Alejandro..
How many credits is Medium Chinese Deng (2) worth?,Medium Chinese Deng (2) is worth 3.0 credits.
When and where is Medium Chinese Deng (2) held?,"Medium Chinese Deng (2) is held at Number 2, 3, 4. in Human Social Science View (306)."
What type of course is Medium Chinese Deng (2)?,Medium Chinese Deng (2) is classified as a Theory course.
Are there any additional notes for Medium Chinese Deng (2)?,"Notes: A third-grader is unable to apply during a school vacation, and if he has an after-school session, he is able to apply without restrictions."
What is the course code for Medium Chinese Recycling?,The course code for Medium Chinese Recycling is CHIN210018.
Who is the instructor for Medium Chinese Recycling?,The instructor of Medium Chinese Recycling is Implicit.
How many credits is Medium Chinese Recycling worth?,Medium Chinese Recycling is worth 3.0 credits.
When and where is Medium Chinese Recycling held?,"Medium Chinese Recycling is held at throat 2, 3, 4. in Human Social Science View (203)."
What type of course is Medium Chinese Recycling?,Medium Chinese Recycling is classified as a Theory course.
Are there any additional notes for Medium Chinese Recycling?,"Notes: A third-grader cannot apply during a school vacation, and if he has an after-school session, he can apply in a straight line."
What is the course code for Medium Chinese Recycling?,The course code for Medium Chinese Recycling is CHIN210018.
Who is the instructor for Medium Chinese Recycling?,The instructor of Medium Chinese Recycling is A Letter.
How many credits is Medium Chinese Recycling worth?,Medium Chinese Recycling is worth 3.0 credits.
When and where is Medium Chinese Recycling held?,"Medium Chinese Recycling is held at Tuesday 6,7,8 in Human Social Science View (306)."
What type of course is Medium Chinese Recycling?,Medium Chinese Recycling is classified as a Theory course.
Are there any additional notes for Medium Chinese Recycling?,"Notes: A third-grader cannot apply during a school vacation, and if he has an after-school session, he can apply in a straight line."
What is the course code for Medium Chinese Recycling?,The course code for Medium Chinese Recycling is CHIN210018.
Who is the instructor for Medium Chinese Recycling?,The instructor of Medium Chinese Recycling is Zhou Zhou Young.
How many credits is Medium Chinese Recycling worth?,Medium Chinese Recycling is worth 3.0 credits.
When and where is Medium Chinese Recycling held?,"Medium Chinese Recycling is held at Month 2,3,4 in Human social science (505)."
What type of course is Medium Chinese Recycling?,Medium Chinese Recycling is classified as a Theory course.
Are there any additional notes for Medium Chinese Recycling?,"Notes: A third-grader cannot apply during a school vacation, and if he has an after-school session, he can apply in a straight line."
What is the course code for Lead Design 2?,The course code for Lead Design 2 is GUID200002.
Who is the instructor for Lead Design 2?,The instructor of Lead Design 2 is Zhou Zhou Young.
How many credits is Lead Design 2 worth?,Lead Design 2 is worth 1.0 credits.
When and where is Lead Design 2 held?,Lead Design 2 is held at Number 5 in Human social science (505).
What type of course is Lead Design 2?,Lead Design 2 is classified as a Theory course.
Are there any additional notes for Lead Design 2?,Notes: I don't want to apply for Taguasin.
What is the course code for Kang-song (2)?,The course code for Kang-song (2) is CHIN2112.
Who is the instructor for Kang-song (2)?,"The instructor of Kang-song (2) is Oh, come on.."
How many credits is Kang-song (2) worth?,Kang-song (2) is worth 3.0 credits.
When and where is Kang-song (2) held?,"Kang-song (2) is held at Fire 2, 3, 4. in Human Social Science View (204)."
What type of course is Kang-song (2)?,Kang-song (2) is classified as a Theory course.
Are there any additional notes for Kang-song (2)?,Notes: Nan
What is the course code for Advanced Chinese Deng (2)?,The course code for Advanced Chinese Deng (2) is CHIN310017.
Who is the instructor for Advanced Chinese Deng (2)?,The instructor of Advanced Chinese Deng (2) is Kim Nanmi.
How many credits is Advanced Chinese Deng (2) worth?,Advanced Chinese Deng (2) is worth 3.0 credits.
When and where is Advanced Chinese Deng (2) held?,"Advanced Chinese Deng (2) is held at MONTH 7,8,9 in Human Social Science View (204)."
What type of course is Advanced Chinese Deng (2)?,Advanced Chinese Deng (2) is classified as a Theory course.
Are there any additional notes for Advanced Chinese Deng (2)?,Notes: Nan
What is the course code for Advanced Chinese Resonation?,The course code for Advanced Chinese Resonation is CHIN310019.
Who is the instructor for Advanced Chinese Resonation?,The instructor of Advanced Chinese Resonation is Warran jade.
How many credits is Advanced Chinese Resonation worth?,Advanced Chinese Resonation is worth 3.0 credits.
When and where is Advanced Chinese Resonation held?,"Advanced Chinese Resonation is held at Fire 2, 3, 4. in Human social science (505)."
What type of course is Advanced Chinese Resonation?,Advanced Chinese Resonation is classified as a Theory course.
Are there any additional notes for Advanced Chinese Resonation?,Notes: Nan
What is the course code for Advanced Chinese Resonation?,The course code for Advanced Chinese Resonation is CHIN310019.
Who is the instructor for Advanced Chinese Resonation?,The instructor of Advanced Chinese Resonation is Warran jade.
How many credits is Advanced Chinese Resonation worth?,Advanced Chinese Resonation is worth 3.0 credits.
When and where is Advanced Chinese Resonation held?,"Advanced Chinese Resonation is held at Woods 7,8,9 in Human Social Science View (203)."
What type of course is Advanced Chinese Resonation?,Advanced Chinese Resonation is classified as a Theory course.
Are there any additional notes for Advanced Chinese Resonation?,Notes: Nan
What is the course code for Storytelling Chinese (4)?,The course code for Storytelling Chinese (4) is CHIN310021.
Who is the instructor for Storytelling Chinese (4)?,The instructor of Storytelling Chinese (4) is Warran jade.
How many credits is Storytelling Chinese (4) worth?,Storytelling Chinese (4) is worth 2.0 credits.
When and where is Storytelling Chinese (4) held?,"Storytelling Chinese (4) is held at Number 6, 7. in Human Social Science View (104)."
What type of course is Storytelling Chinese (4)?,Storytelling Chinese (4) is classified as a Theory course.
Are there any additional notes for Storytelling Chinese (4)?,Notes: Nan
What is the course code for Chinese Literalism (2)?,The course code for Chinese Literalism (2) is CHIN3103.
Who is the instructor for Chinese Literalism (2)?,The instructor of Chinese Literalism (2) is Hongs..
How many credits is Chinese Literalism (2) worth?,Chinese Literalism (2) is worth 3.0 credits.
When and where is Chinese Literalism (2) held?,"Chinese Literalism (2) is held at Figure 7, 8, 9. in Human Social Science View (203)."
What type of course is Chinese Literalism (2)?,Chinese Literalism (2) is classified as a Theory course.
Are there any additional notes for Chinese Literalism (2)?,Notes: Nan
What is the course code for Chinese School and Textbooks and Study Methods?,The course code for Chinese School and Textbooks and Study Methods is CHIN3201.
Who is the instructor for Chinese School and Textbooks and Study Methods?,The instructor of Chinese School and Textbooks and Study Methods is Implicit.
How many credits is Chinese School and Textbooks and Study Methods worth?,Chinese School and Textbooks and Study Methods is worth 3.0 credits.
When and where is Chinese School and Textbooks and Study Methods held?,"Chinese School and Textbooks and Study Methods is held at Number 2, 3, 4. in Human Social Science View (203)."
What type of course is Chinese School and Textbooks and Study Methods?,Chinese School and Textbooks and Study Methods is classified as a Theory course.
Are there any additional notes for Chinese School and Textbooks and Study Methods?,Notes: Nan
What is the course code for Chinese Syntax?,The course code for Chinese Syntax is CHIN3107.
Who is the instructor for Chinese Syntax?,The instructor of Chinese Syntax is Implicit.
How many credits is Chinese Syntax worth?,Chinese Syntax is worth 3.0 credits.
When and where is Chinese Syntax held?,"Chinese Syntax is held at Fire 2, 3, 4. in Human Social Science View (306)."
What type of course is Chinese Syntax?,Chinese Syntax is classified as a Theory course.
Are there any additional notes for Chinese Syntax?,Notes: Nan
What is the course code for Lead Design 3?,The course code for Lead Design 3 is GUID300002.
Who is the instructor for Lead Design 3?,The instructor of Lead Design 3 is Kim Jin-gon..
How many credits is Lead Design 3 worth?,Lead Design 3 is worth 1.0 credits.
When and where is Lead Design 3 held?,Lead Design 3 is held at 5 Gold in Human Social Science View (203).
What type of course is Lead Design 3?,Lead Design 3 is classified as a Theory course.
Are there any additional notes for Lead Design 3?,Notes: Nan
What is the course code for Capston Design (2 Chinese Culture)?,The course code for Capston Design (2 Chinese Culture) is CHIN3111.
Who is the instructor for Capston Design (2 Chinese Culture)?,The instructor of Capston Design (2 Chinese Culture) is Kim Jin-gon..
How many credits is Capston Design (2 Chinese Culture) worth?,Capston Design (2 Chinese Culture) is worth 2.0 credits.
When and where is Capston Design (2 Chinese Culture) held?,"Capston Design (2 Chinese Culture) is held at Fire 5, 6. in Human Social Science View (203)."
What type of course is Capston Design (2 Chinese Culture)?,Capston Design (2 Chinese Culture) is classified as a Theory course.
Are there any additional notes for Capston Design (2 Chinese Culture)?,Notes: Nan
What is the course code for Deep reading from classical prose?,The course code for Deep reading from classical prose is CHIN4104.
Who is the instructor for Deep reading from classical prose?,The instructor of Deep reading from classical prose is Dummy.
How many credits is Deep reading from classical prose worth?,Deep reading from classical prose is worth 3.0 credits.
When and where is Deep reading from classical prose held?,"Deep reading from classical prose is held at throat 2, 3, 4. in Human Social Science View (204)."
What type of course is Deep reading from classical prose?,Deep reading from classical prose is classified as a Theory course.
Are there any additional notes for Deep reading from classical prose?,Notes: Nan
What is the course code for Business Chinese (2)?,The course code for Business Chinese (2) is CHIN420012.
Who is the instructor for Business Chinese (2)?,The instructor of Business Chinese (2) is Zhou Zhou Young.
How many credits is Business Chinese (2) worth?,Business Chinese (2) is worth 3.0 credits.
When and where is Business Chinese (2) held?,"Business Chinese (2) is held at Figure 7, 8, 9. in Human social science (505)."
What type of course is Business Chinese (2)?,Business Chinese (2) is classified as a Theory course.
Are there any additional notes for Business Chinese (2)?,Notes: Nan
What is the course code for Real Chinese Revocation 2?,The course code for Real Chinese Revocation 2 is CHIN410014.
Who is the instructor for Real Chinese Revocation 2?,The instructor of Real Chinese Revocation 2 is Warran jade.
How many credits is Real Chinese Revocation 2 worth?,Real Chinese Revocation 2 is worth 2.0 credits.
When and where is Real Chinese Revocation 2 held?,"Real Chinese Revocation 2 is held at Fire 5, 6. in Human Social Science View (104)."
What type of course is Real Chinese Revocation 2?,Real Chinese Revocation 2 is classified as a Theory course.
Are there any additional notes for Real Chinese Revocation 2?,Notes: Nan
What is the course code for Ching Chinese?,The course code for Ching Chinese is CHIN410012.
Who is the instructor for Ching Chinese?,The instructor of Ching Chinese is Dummy.
How many credits is Ching Chinese worth?,Ching Chinese is worth 3.0 credits.
When and where is Ching Chinese held?,"Ching Chinese is held at Woods 7,8,9 in Human Social Science View (204)."
What type of course is Ching Chinese?,Ching Chinese is classified as a Theory course.
Are there any additional notes for Ching Chinese?,Notes: Nan
"What is the course code for Chinese literary works (2) - novels, plays?","The course code for Chinese literary works (2) - novels, plays is CHIN4203."
"Who is the instructor for Chinese literary works (2) - novels, plays?","The instructor of Chinese literary works (2) - novels, plays is Alejandro.."
"How many credits is Chinese literary works (2) - novels, plays worth?","Chinese literary works (2) - novels, plays is worth 2.0 credits."
"When and where is Chinese literary works (2) - novels, plays held?","Chinese literary works (2) - novels, plays is held at Month 8,9 in Human Social Science View (306)."
"What type of course is Chinese literary works (2) - novels, plays?","Chinese literary works (2) - novels, plays is classified as a Theory course."
"Are there any additional notes for Chinese literary works (2) - novels, plays?",Notes: Nan
What is the course code for Modern Understanding of Chinese Masters?,The course code for Modern Understanding of Chinese Masters is CHIN410013.
Who is the instructor for Modern Understanding of Chinese Masters?,The instructor of Modern Understanding of Chinese Masters is Kim Jin-gon..
How many credits is Modern Understanding of Chinese Masters worth?,Modern Understanding of Chinese Masters is worth 3.0 credits.
When and where is Modern Understanding of Chinese Masters held?,"Modern Understanding of Chinese Masters is held at Gold 2, 3, 4. in Human Social Science View (203)."
What type of course is Modern Understanding of Chinese Masters?,Modern Understanding of Chinese Masters is classified as a Theory course.
Are there any additional notes for Modern Understanding of Chinese Masters?,Notes: Nan
What is the course code for Chinese Atheism and Education?,The course code for Chinese Atheism and Education is CHIN4205.
Who is the instructor for Chinese Atheism and Education?,The instructor of Chinese Atheism and Education is Kim Jin-gon..
How many credits is Chinese Atheism and Education worth?,Chinese Atheism and Education is worth 3.0 credits.
When and where is Chinese Atheism and Education held?,"Chinese Atheism and Education is held at Fire 2, 3, 4. in Human Social Science View (203)."
What type of course is Chinese Atheism and Education?,Chinese Atheism and Education is classified as a Theory course.
Are there any additional notes for Chinese Atheism and Education?,Notes: Nan
What is the course code for Chinese Writing?,The course code for Chinese Writing is CHIN4206.
Who is the instructor for Chinese Writing?,The instructor of Chinese Writing is Warran jade.
How many credits is Chinese Writing worth?,Chinese Writing is worth 3.0 credits.
When and where is Chinese Writing held?,"Chinese Writing is held at Number 2, 3, 4. in Human Social Science View (204)."
What type of course is Chinese Writing?,Chinese Writing is classified as a Theory course.
Are there any additional notes for Chinese Writing?,Notes: Nan
What is the course code for Lead Design 4?,The course code for Lead Design 4 is GUID400002.
Who is the instructor for Lead Design 4?,The instructor of Lead Design 4 is Kim Jin-gon..
How many credits is Lead Design 4 worth?,Lead Design 4 is worth 1.0 credits.
When and where is Lead Design 4 held?,Lead Design 4 is held at Gold 6 in Human Social Science View (203).
What type of course is Lead Design 4?,Lead Design 4 is classified as a Theory course.
Are there any additional notes for Lead Design 4?,Notes: Nan
What is the course code for Default Japanese (2)?,The course code for Default Japanese (2) is JPAN1102.
Who is the instructor for Default Japanese (2)?,The instructor of Default Japanese (2) is KIM Hyun-joon.
How many credits is Default Japanese (2) worth?,Default Japanese (2) is worth 3.0 credits.
When and where is Default Japanese (2) held?,"Default Japanese (2) is held at Number 6, 7, 8. in Human Social Science View (205)."
What type of course is Default Japanese (2)?,Default Japanese (2) is classified as a Theory course.
Are there any additional notes for Default Japanese (2)?,Notes: Nan
What is the course code for Default Japanese (2)?,The course code for Default Japanese (2) is JPAN1102.
Who is the instructor for Default Japanese (2)?,The instructor of Default Japanese (2) is KIM Hyun-joon.
How many credits is Default Japanese (2) worth?,Default Japanese (2) is worth 3.0 credits.
When and where is Default Japanese (2) held?,"Default Japanese (2) is held at throat 2, 3, 4. in Human Social Science View (206)."
What type of course is Default Japanese (2)?,Default Japanese (2) is classified as a Theory course.
Are there any additional notes for Default Japanese (2)?,Notes: Nan
What is the course code for Basic Japanese Chinese Chinese Chinese?,The course code for Basic Japanese Chinese Chinese Chinese is JPAN110008.
Who is the instructor for Basic Japanese Chinese Chinese Chinese?,The instructor of Basic Japanese Chinese Chinese Chinese is Shin-chul.
How many credits is Basic Japanese Chinese Chinese Chinese worth?,Basic Japanese Chinese Chinese Chinese is worth 3.0 credits.
When and where is Basic Japanese Chinese Chinese Chinese held?,"Basic Japanese Chinese Chinese Chinese is held at Fire 2, 3, 4. in Human Social Science View (206)."
What type of course is Basic Japanese Chinese Chinese Chinese?,Basic Japanese Chinese Chinese Chinese is classified as a Theory course.
Are there any additional notes for Basic Japanese Chinese Chinese Chinese?,Notes: Nan
What is the course code for Basic Japanese Chinese Chinese Chinese?,The course code for Basic Japanese Chinese Chinese Chinese is JPAN110008.
Who is the instructor for Basic Japanese Chinese Chinese Chinese?,The instructor of Basic Japanese Chinese Chinese Chinese is Shin-chul.
How many credits is Basic Japanese Chinese Chinese Chinese worth?,Basic Japanese Chinese Chinese Chinese is worth 3.0 credits.
When and where is Basic Japanese Chinese Chinese Chinese held?,"Basic Japanese Chinese Chinese Chinese is held at Tuesday 6,7,8 in Human Social Science View (206)."
What type of course is Basic Japanese Chinese Chinese Chinese?,Basic Japanese Chinese Chinese Chinese is classified as a Theory course.
Are there any additional notes for Basic Japanese Chinese Chinese Chinese?,Notes: Nan
What is the course code for First Step in Shrewd Japanese?,The course code for First Step in Shrewd Japanese is JPAN110010.
Who is the instructor for First Step in Shrewd Japanese?,The instructor of First Step in Shrewd Japanese is Shin-chul.
How many credits is First Step in Shrewd Japanese worth?,First Step in Shrewd Japanese is worth 2.0 credits.
When and where is First Step in Shrewd Japanese held?,"First Step in Shrewd Japanese is held at throat 2, 3. in Human Social Science View (503)."
What type of course is First Step in Shrewd Japanese?,First Step in Shrewd Japanese is classified as a Theory course.
Are there any additional notes for First Step in Shrewd Japanese?,Notes: I'm going to show you that there's no such thing as an exclusive student subject at the Fusion Prize.
What is the course code for Lead Design One.?,The course code for Lead Design One. is GUID100002.
Who is the instructor for Lead Design One.?,The instructor of Lead Design One. is Park-hee-young..
How many credits is Lead Design One. worth?,Lead Design One. is worth 1.0 credits.
When and where is Lead Design One. held?,Lead Design One. is held at Thirsty. in Human Social Science View (301).
What type of course is Lead Design One.?,Lead Design One. is classified as a Theory course.
Are there any additional notes for Lead Design One.?,Notes: You can't ask me to be a cadet.
What is the course code for Secondary Japanese (Daily)?,The course code for Secondary Japanese (Daily) is JPAN1105.
Who is the instructor for Secondary Japanese (Daily)?,The instructor of Secondary Japanese (Daily) is The Park Comet.
How many credits is Secondary Japanese (Daily) worth?,Secondary Japanese (Daily) is worth 3.0 credits.
When and where is Secondary Japanese (Daily) held?,"Secondary Japanese (Daily) is held at Number 2, 3, 4. in Human Social Science View (205)."
What type of course is Secondary Japanese (Daily)?,Secondary Japanese (Daily) is classified as a Theory course.
Are there any additional notes for Secondary Japanese (Daily)?,Notes: Nan
What is the course code for Secondary Japanese (Daily)?,The course code for Secondary Japanese (Daily) is JPAN1105.
Who is the instructor for Secondary Japanese (Daily)?,The instructor of Secondary Japanese (Daily) is Kim Jong-young..
How many credits is Secondary Japanese (Daily) worth?,Secondary Japanese (Daily) is worth 3.0 credits.
When and where is Secondary Japanese (Daily) held?,"Secondary Japanese (Daily) is held at Number 2, 3, 4. in Human Social Science View (202)."
What type of course is Secondary Japanese (Daily)?,Secondary Japanese (Daily) is classified as a Theory course.
Are there any additional notes for Secondary Japanese (Daily)?,Notes: Nan
What is the course code for & Secondary Japanese language painting?,The course code for & Secondary Japanese language painting is JPAN1107.
Who is the instructor for & Secondary Japanese language painting?,The instructor of & Secondary Japanese language painting is Yasda canae..
How many credits is & Secondary Japanese language painting worth?,& Secondary Japanese language painting is worth 2.0 credits.
When and where is & Secondary Japanese language painting held?,& Secondary Japanese language painting is held at MONTHS in Human Social Science View (205).
What type of course is & Secondary Japanese language painting?,& Secondary Japanese language painting is classified as a Theory course.
Are there any additional notes for & Secondary Japanese language painting?,Notes: Nan
What is the course code for & Secondary Japanese language painting?,The course code for & Secondary Japanese language painting is JPAN1107.
Who is the instructor for & Secondary Japanese language painting?,The instructor of & Secondary Japanese language painting is Yasda canae..
How many credits is & Secondary Japanese language painting worth?,& Secondary Japanese language painting is worth 2.0 credits.
When and where is & Secondary Japanese language painting held?,"& Secondary Japanese language painting is held at Months 6, 7 in Human Social Science View (205)."
What type of course is & Secondary Japanese language painting?,& Secondary Japanese language painting is classified as a Theory course.
Are there any additional notes for & Secondary Japanese language painting?,Notes: Nan
What is the course code for & Secondary Japanese language painting?,The course code for & Secondary Japanese language painting is JPAN1107.
Who is the instructor for & Secondary Japanese language painting?,The instructor of & Secondary Japanese language painting is Shivata Yoko..
How many credits is & Secondary Japanese language painting worth?,& Secondary Japanese language painting is worth 2.0 credits.
When and where is & Secondary Japanese language painting held?,"& Secondary Japanese language painting is held at Months 6, 7 in Human Social Science View (202)."
What type of course is & Secondary Japanese language painting?,& Secondary Japanese language painting is classified as a Theory course.
Are there any additional notes for & Secondary Japanese language painting?,Notes: Nan
What is the course code for Japanese Deng (2)?,The course code for Japanese Deng (2) is JPAN2102.
Who is the instructor for Japanese Deng (2)?,The instructor of Japanese Deng (2) is Yoon-seok.
How many credits is Japanese Deng (2) worth?,Japanese Deng (2) is worth 3.0 credits.
When and where is Japanese Deng (2) held?,"Japanese Deng (2) is held at Number 2, 3, 4. in Human Social Science View (206)."
What type of course is Japanese Deng (2)?,Japanese Deng (2) is classified as a Theory course.
Are there any additional notes for Japanese Deng (2)?,Notes: Nan
What is the course code for Japanese Syntax (2)?,The course code for Japanese Syntax (2) is JPAN2202.
Who is the instructor for Japanese Syntax (2)?,The instructor of Japanese Syntax (2) is Shin-chul.
How many credits is Japanese Syntax (2) worth?,Japanese Syntax (2) is worth 3.0 credits.
When and where is Japanese Syntax (2) held?,"Japanese Syntax (2) is held at Number 6, 7, 8. in Human Social Science View (202)."
What type of course is Japanese Syntax (2)?,Japanese Syntax (2) is classified as a Theory course.
Are there any additional notes for Japanese Syntax (2)?,Notes: Nan
What is the course code for Practice Japanese text?,The course code for Practice Japanese text is JPAN2104.
Who is the instructor for Practice Japanese text?,The instructor of Practice Japanese text is Yasda canae..
How many credits is Practice Japanese text worth?,Practice Japanese text is worth 3.0 credits.
When and where is Practice Japanese text held?,"Practice Japanese text is held at Thirst 6,7,8 in Human Social Science View (205)."
What type of course is Practice Japanese text?,Practice Japanese text is classified as a Theory course.
Are there any additional notes for Practice Japanese text?,Notes: Nan
What is the course code for Practice Japanese text?,The course code for Practice Japanese text is JPAN2104.
Who is the instructor for Practice Japanese text?,The instructor of Practice Japanese text is Shivata Yoko..
How many credits is Practice Japanese text worth?,Practice Japanese text is worth 3.0 credits.
When and where is Practice Japanese text held?,"Practice Japanese text is held at Thirst 6,7,8 in Human Social Science View (202)."
What type of course is Practice Japanese text?,Practice Japanese text is classified as a Theory course.
Are there any additional notes for Practice Japanese text?,Notes: Nan
What is the course code for Japanese - Language Practice?,The course code for Japanese - Language Practice is JPAN1103.
Who is the instructor for Japanese - Language Practice?,The instructor of Japanese - Language Practice is KIM Hyun-joon.
How many credits is Japanese - Language Practice worth?,Japanese - Language Practice is worth 3.0 credits.
When and where is Japanese - Language Practice held?,"Japanese - Language Practice is held at Tuesday 6,7,8 in Human Social Science View (202)."
What type of course is Japanese - Language Practice?,Japanese - Language Practice is classified as a Theory course.
Are there any additional notes for Japanese - Language Practice?,Notes: Nan
What is the course code for & Japanese Original Language?,The course code for & Japanese Original Language is JPAN2105.
Who is the instructor for & Japanese Original Language?,The instructor of & Japanese Original Language is Kim Yun-young.
How many credits is & Japanese Original Language worth?,& Japanese Original Language is worth 3.0 credits.
When and where is & Japanese Original Language held?,"& Japanese Original Language is held at Months 6,7,8 in Human Social Science View (206)."
What type of course is & Japanese Original Language?,& Japanese Original Language is classified as a Theory course.
Are there any additional notes for & Japanese Original Language?,Notes: Nan
What is the course code for Academia in Japanese?,The course code for Academia in Japanese is JPAN2203.
Who is the instructor for Academia in Japanese?,The instructor of Academia in Japanese is Kim Jong-young..
How many credits is Academia in Japanese worth?,Academia in Japanese is worth 3.0 credits.
When and where is Academia in Japanese held?,"Academia in Japanese is held at throat 2, 3, 4. in Human Social Science View (202)."
What type of course is Academia in Japanese?,Academia in Japanese is classified as a Theory course.
Are there any additional notes for Academia in Japanese?,Notes: Nan
What is the course code for A seminar in Japan?,The course code for A seminar in Japan is JPAN2204.
Who is the instructor for A seminar in Japan?,The instructor of A seminar in Japan is Park-hee-young..
How many credits is A seminar in Japan worth?,A seminar in Japan is worth 3.0 credits.
When and where is A seminar in Japan held?,"A seminar in Japan is held at Fire 2, 3, 4. in Human Social Science View (202)."
What type of course is A seminar in Japan?,A seminar in Japan is classified as a Theory course.
Are there any additional notes for A seminar in Japan?,Notes: Nan
What is the course code for & Central Japanese Recession (2)?,The course code for & Central Japanese Recession (2) is JPAN2108.
Who is the instructor for & Central Japanese Recession (2)?,The instructor of & Central Japanese Recession (2) is Shivata Yoko..
How many credits is & Central Japanese Recession (2) worth?,& Central Japanese Recession (2) is worth 2.0 credits.
When and where is & Central Japanese Recession (2) held?,& Central Japanese Recession (2) is held at MONTHS in Human Social Science View (202).
What type of course is & Central Japanese Recession (2)?,& Central Japanese Recession (2) is classified as a Theory course.
Are there any additional notes for & Central Japanese Recession (2)?,Notes: Nan
What is the course code for & Central Japanese Recession (2)?,The course code for & Central Japanese Recession (2) is JPAN2108.
